PID: 18660, Name: python.exe, CPU Usage: 3.26%
PID: 4, Name: System, CPU Usage: 0.0%
PID: 17644, Name: python.exe, CPU Usage: 3.62%
PID: 4, Name: System, CPU Usage: 0.0%
PID: 4772, Name: python.exe, CPU Usage: 4.4%
PID: 4, Name: System, CPU Usage: 0.0%
PID: 3256, Name: python.exe, CPU Usage: 4.59%
PID: 4, Name: System, CPU Usage: 0.0%, Path: 
PID: 4916, Name: MicrosoftHost.exe, CPU Usage: 39.2%, Path: C:\ProgramData\WindowsTask\MicrosoftHost.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.92%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 5336, Name: Taskmgr.exe, CPU Usage: 8.12%, Path: C:\Windows\System32\Taskmgr.exe
PID: 4920, Name: python.exe, CPU Usage: 3.19%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.3%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 16652, Name: EpicGamesLauncher.exe, CPU Usage: 3.9%, Path: C:\Program Files (x86)\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.15%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.26%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.12%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 11712, Name: Code.exe, CPU Usage: 3.59%, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.12%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.12%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.3%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.16%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.16%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.33%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.26%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.26%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 10076, Name: explorer.exe, CPU Usage: 5.57%, Path: C:\Windows\explorer.exe
PID: 4920, Name: python.exe, CPU Usage: 3.47%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.19%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.19%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.26%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.26%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.26%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.26%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.19%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.3%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.12%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 20888, Name: MicrosoftHost.exe, CPU Usage: 32.37%, Path: C:\ProgramData\WindowsTask\MicrosoftHost.exe
PID: 4368, Name: Taskmgr.exe, CPU Usage: 8.85%, Path: C:\Windows\System32\Taskmgr.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.97%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.97%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.97%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.86%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.78%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.97%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 4368, Name: Taskmgr.exe, CPU Usage: 3.67%, Path: C:\Windows\System32\Taskmgr.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 10076, Name: explorer.exe, CPU Usage: 3.33%, Path: C:\Windows\explorer.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.19%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 21268, Name: Taskmgr.exe, CPU Usage: 4.94%, Path: C:\Windows\System32\Taskmgr.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.81%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.97%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.81%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10076, Name: explorer.exe, CPU Usage: 4.83%, Path: C:\Windows\explorer.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.4%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 14968, Name: MicrosoftHost.exe, CPU Usage: 39.67%, Path: C:\ProgramData\WindowsTask\MicrosoftHost.exe
PID: 4920, Name: python.exe, CPU Usage: 3.47%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 14208, Name: Taskmgr.exe, CPU Usage: 9.89%, Path: C:\Windows\System32\Taskmgr.exe
PID: 4920, Name: python.exe, CPU Usage: 2.94%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.97%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.47%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 19104, Name: MicrosoftHost.exe, CPU Usage: 40.0%, Path: C:\ProgramData\WindowsTask\MicrosoftHost.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.26%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 9172, Name: Taskmgr.exe, CPU Usage: 8.4%, Path: C:\Windows\System32\Taskmgr.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.04%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.12%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10076, Name: explorer.exe, CPU Usage: 8.1%, Path: C:\Windows\explorer.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10076, Name: explorer.exe, CPU Usage: 3.26%, Path: C:\Windows\explorer.exe
PID: 4920, Name: python.exe, CPU Usage: 3.04%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 3.12%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 16652, Name: EpicGamesLauncher.exe, CPU Usage: 3.98%, Path: C:\Program Files (x86)\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe
PID: 4920, Name: python.exe, CPU Usage: 3.12%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.97%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 3.4%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 4596, Name: MicrosoftHost.exe, CPU Usage: 39.88%, Path: C:\ProgramData\WindowsTask\MicrosoftHost.exe
PID: 4920, Name: python.exe, CPU Usage: 3.47%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 19596, Name: Taskmgr.exe, CPU Usage: 4.49%, Path: C:\Windows\System32\Taskmgr.exe
PID: 5568, Name: svchost.exe, CPU Usage: 5.45%, Path: C:\Windows\System32\svchost.exe
PID: 4920, Name: python.exe, CPU Usage: 2.81%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 19596, Name: Taskmgr.exe, CPU Usage: 4.33%, Path: C:\Windows\System32\Taskmgr.exe
PID: 4920, Name: python.exe, CPU Usage: 2.81%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
PID: 10612, Name: monitor_cpu.exe, CPU Usage: 2.89%, Path: C:\abc\fixing pc\фиксирование процессов\dist\monitor_cpu.exe
PID: 4920, Name: python.exe, CPU Usage: 2.89%, Path: C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe
