PID,Name,CPU Usage (%),Path,Parent Chain
11944,Code.exe,4.57,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11064,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
4,System,0.0,,"PID: 0, Name: System Idle Process, Path: Недоступно"
15676,python.exe,2.95,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11944,Code.exe,6.22,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
15676,python.exe,2.53,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11944,Code.exe,3.82,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
15676,python.exe,2.47,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
4,System,0.0,,"PID: 0, Name: System Idle Process, Path: Недоступно"
14748,python.exe,3.22,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
15948,Code.exe,2.95,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,3.04,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11744,Code.exe,2.81,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.97,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11744,Code.exe,3.8,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.84,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11744,Code.exe,5.0,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.81,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11744,Code.exe,3.03,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11744,Code.exe,3.22,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.78,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
